TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,BLOCK,NEIGHBOURHOOD,X,Y
Homicide,2009,1,29,0,0,OFFSET TO PROTECT PRIVACY,,498000,5443299
Homicide,2012,2,14,0,0,OFFSET TO PROTECT PRIVACY,,498575,5080831
Homicide,2006,5,15,0,0,OFFSET TO PROTECT PRIVACY,,496735,5434841
Homicide,2018,1,13,0,0,OFFSET TO PROTECT PRIVACY,,499266,5023918
Homicide,2008,12,12,0,0,OFFSET TO PROTECT PRIVACY,,503421,5275975
Homicide,2006,4,28,0,0,OFFSET TO PROTECT PRIVACY,,492518,5289866
Homicide,2019,6,26,0,0,OFFSET TO PROTECT PRIVACY,,497406,5438944
Homicide,2012,5,10,0,0,OFFSET TO PROTECT PRIVACY,,502505,5442090
Homicide,2004,11,8,0,0,OFFSET TO PROTECT PRIVACY,,495301,5004978
Homicide,2004,5,29,0,0,OFFSET TO PROTECT PRIVACY,,499369,5166324
Homicide,2008,2,2,0,0,OFFSET TO PROTECT PRIVACY,,507718,5081872
Homicide,2011,6,10,0,0,OFFSET TO PROTECT PRIVACY,,507387,5220971
Homicide,2019,1,26,0,0,OFFSET TO PROTECT PRIVACY,,507476,5218143
Homicide,2007,8,9,0,0,OFFSET TO PROTECT PRIVACY,,496766,5243853
Homicide,2009,7,29,0,0,OFFSET TO PROTECT PRIVACY,,507960,5376250
Homicide,2017,2,9,0,0,OFFSET TO PROTECT PRIVACY,,511126,5420333
Homicide,2008,7,28,0,0,OFFSET TO PROTECT PRIVACY,,501936,5319618
Homicide,2004,5,4,0,0,OFFSET TO PROTECT PRIVACY,,502279,5125569
Homicide,2013,6,15,0,0,OFFSET TO PROTECT PRIVACY,,499126,5445411
Homicide,2017,4,15,0,0,OFFSET TO PROTECT PRIVACY,,511073,5124143
Homicide,2008,1,27,0,0,OFFSET TO PROTECT PRIVACY,,495100,5375267
Homicide,2005,12,31,0,0,OFFSET TO PROTECT PRIVACY,,492977,5161574
Homicide,2009,2,17,0,0,OFFSET TO PROTECT PRIVACY,,494680,5198497
Homicide,2009,2,6,0,0,OFFSET TO PROTECT PRIVACY,,492806,5253374
Homicide,2017,5,23,0,0,OFFSET TO PROTECT PRIVACY,,499555,5112760
Homicide,2013,1,23,0,0,OFFSET TO PROTECT PRIVACY,,502425,5323089
Homicide,2012,5,2,0,0,OFFSET TO PROTECT PRIVACY,,505483,5408801
Homicide,2008,3,7,0,0,OFFSET TO PROTECT PRIVACY,,494997,5461572
Homicide,2017,3,9,0,0,OFFSET TO PROTECT PRIVACY,,496696,5139314
Homicide,2003,7,26,0,0,OFFSET TO PROTECT PRIVACY,,501721,5452215
Homicide,2005,12,18,0,0,OFFSET TO PROTECT PRIVACY,,493723,5193901
Homicide,2005,3,1,0,0,OFFSET TO PROTECT PRIVACY,,497729,5280418
Homicide,2010,5,21,0,0,OFFSET TO PROTECT PRIVACY,,507455,5008675
Homicide,2004,3,14,0,0,OFFSET TO PROTECT PRIVACY,,497421,5140439
Homicide,2015,4,3,0,0,OFFSET TO PROTECT PRIVACY,,509421,5071191
Homicide,2006,8,1,0,0,OFFSET TO PROTECT PRIVACY,,502418,5078491
Homicide,2003,12,13,0,0,OFFSET TO PROTECT PRIVACY,,504112,5101701
Homicide,2006,7,4,0,0,OFFSET TO PROTECT PRIVACY,,493593,5111744
Homicide,2009,3,10,0,0,OFFSET TO PROTECT PRIVACY,,490844,5390616
Homicide,2010,1,16,0,0,OFFSET TO PROTECT PRIVACY,,498180,5104077
Homicide,2010,1,27,0,0,OFFSET TO PROTECT PRIVACY,,501839,5107199
Homicide,2012,10,25,0,0,OFFSET TO PROTECT PRIVACY,,503644,5353792
Homicide,2010,9,23,0,0,OFFSET TO PROTECT PRIVACY,,500544,5213701
Homicide,2011,12,14,0,0,OFFSET TO PROTECT PRIVACY,,500989,5254819
Homicide,2005,5,8,0,0,OFFSET TO PROTECT PRIVACY,,510666,5004388
Homicide,2013,10,11,0,0,OFFSET TO PROTECT PRIVACY,,507065,5052670
Homicide,2005,8,20,0,0,OFFSET TO PROTECT PRIVACY,,491184,5190498
Homicide,2003,10,16,0,0,OFFSET TO PROTECT PRIVACY,,509356,5349350
Homicide,2007,10,31,0,0,OFFSET TO PROTECT PRIVACY,,493621,5084999
Homicide,2008,3,24,0,0,OFFSET TO PROTECT PRIVACY,,490791,5072709
Homicide,2018,4,22,0,0,OFFSET TO PROTECT PRIVACY,,495393,5250554
Homicide,2008,3,8,0,0,OFFSET TO PROTECT PRIVACY,,508812,5091062
Homicide,2008,7,5,0,0,OFFSET TO PROTECT PRIVACY,,501983,5317956
Homicide,2013,12,12,0,0,OFFSET TO PROTECT PRIVACY,,504414,5278188
Homicide,2003,3,14,0,0,OFFSET TO PROTECT PRIVACY,,494788,5199300
Homicide,2014,6,7,0,0,OFFSET TO PROTECT PRIVACY,,502867,5338526
Homicide,2010,10,7,0,0,OFFSET TO PROTECT PRIVACY,,495441,5357879
Homicide,2009,2,11,0,0,OFFSET TO PROTECT PRIVACY,,497114,5359143
Homicide,2005,12,10,0,0,OFFSET TO PROTECT PRIVACY,,498967,5107138
Homicide,2013,8,16,0,0,OFFSET TO PROTECT PRIVACY,,508008,5394631
Homicide,2007,9,24,0,0,OFFSET TO PROTECT PRIVACY,,506000,5010214
Homicide,2007,6,1,0,0,OFFSET TO PROTECT PRIVACY,,496301,5388613
Homicide,2008,9,11,0,0,OFFSET TO PROTECT PRIVACY,,494665,5382253
Homicide,2006,7,4,0,0,OFFSET TO PROTECT PRIVACY,,506072,5368172
Homicide,2012,8,8,0,0,OFFSET TO PROTECT PRIVACY,,502334,5348207
Homicide,2014,5,10,0,0,OFFSET TO PROTECT PRIVACY,,497731,5148393
Homicide,2016,9,29,0,0,OFFSET TO PROTECT PRIVACY,,500756,5029087
Homicide,2009,4,9,0,0,OFFSET TO PROTECT PRIVACY,,495342,5269155
Homicide,2018,1,18,0,0,OFFSET TO PROTECT PRIVACY,,497357,5090771
Homicide,2004,7,28,0,0,OFFSET TO PROTECT PRIVACY,,505682,5186799
Homicide,2014,4,14,0,0,OFFSET TO PROTECT PRIVACY,,504231,5409002
Homicide,2018,11,24,0,0,OFFSET TO PROTECT PRIVACY,,493919,5408235
Homicide,2008,2,1,0,0,OFFSET TO PROTECT PRIVACY,,493844,5451949
Homicide,2010,4,19,0,0,OFFSET TO PROTECT PRIVACY,,508488,5260764
Homicide,2008,10,25,0,0,OFFSET TO PROTECT PRIVACY,,500754,5315127
Homicide,2015,7,27,0,0,OFFSET TO PROTECT PRIVACY,,500450,5353714
Homicide,2005,2,1,0,0,OFFSET TO PROTECT PRIVACY,,504258,5323711
Homicide,2011,7,25,0,0,OFFSET TO PROTECT PRIVACY,,507563,5166220
Homicide,2015,7,26,0,0,OFFSET TO PROTECT PRIVACY,,491396,5430409
Homicide,2009,4,4,0,0,OFFSET TO PROTECT PRIVACY,,498633,5219675
Homicide,2004,8,2,0,0,OFFSET TO PROTECT PRIVACY,,507037,5267792
Homicide,2010,11,24,0,0,OFFSET TO PROTECT PRIVACY,,500973,5029960
Homicide,2006,5,8,0,0,OFFSET TO PROTECT PRIVACY,,501540,5068046
Homicide,2003,7,10,0,0,OFFSET TO PROTECT PRIVACY,,506896,5290849
Homicide,2003,11,4,0,0,OFFSET TO PROTECT PRIVACY,,492104,5209339
Homicide,2016,9,17,0,0,OFFSET TO PROTECT PRIVACY,,499692,5015282
Homicide,2004,2,16,0,0,OFFSET TO PROTECT PRIVACY,,508510,5228402
Homicide,2005,5,12,0,0,OFFSET TO PROTECT PRIVACY,,497344,5440065
Homicide,2003,8,17,0,0,OFFSET TO PROTECT PRIVACY,,495229,5263234
Homicide,2003,4,18,0,0,OFFSET TO PROTECT PRIVACY,,497070,5280797
Homicide,2014,11,8,0,0,OFFSET TO PROTECT PRIVACY,,504629,5393303
Homicide,2016,12,6,0,0,OFFSET TO PROTECT PRIVACY,,507685,5342235
Homicide,2009,8,4,0,0,OFFSET TO PROTECT PRIVACY,,507551,5418482
Homicide,2014,11,13,0,0,OFFSET TO PROTECT PRIVACY,,491703,5297234
Homicide,2003,11,5,0,0,OFFSET TO PROTECT PRIVACY,,506157,5311557
Homicide,2019,4,16,0,0,OFFSET TO PROTECT PRIVACY,,497236,5323189
Homicide,2007,2,25,0,0,OFFSET TO PROTECT PRIVACY,,504637,5289324
Homicide,2016,6,6,0,0,OFFSET TO PROTECT PRIVACY,,495518,5383368
Homicide,2007,2,22,0,0,OFFSET TO PROTECT PRIVACY,,508588,5140676
Homicide,2007,8,27,0,0,OFFSET TO PROTECT PRIVACY,,495266,5351712
Homicide,2018,2,15,0,0,OFFSET TO PROTECT PRIVACY,,503178,5262672
Homicide,2005,9,23,0,0,OFFSET TO PROTECT PRIVACY,,490312,5198240
Homicide,2009,7,23,0,0,OFFSET TO PROTECT PRIVACY,,501953,5408889
Homicide,2007,11,3,0,0,OFFSET TO PROTECT PRIVACY,,493223,5069500
Homicide,2007,11,6,0,0,OFFSET TO PROTECT PRIVACY,,491458,5396433
Homicide,2017,9,27,0,0,OFFSET TO PROTECT PRIVACY,,508035,5104900
Homicide,2016,1,30,0,0,OFFSET TO PROTECT PRIVACY,,494395,5386622
Homicide,2017,11,27,0,0,OFFSET TO PROTECT PRIVACY,,492546,5460867
Homicide,2003,8,16,0,0,OFFSET TO PROTECT PRIVACY,,504827,5082431
Homicide,2015,9,27,0,0,OFFSET TO PROTECT PRIVACY,,495422,5269095
Homicide,2005,1,30,0,0,OFFSET TO PROTECT PRIVACY,,495558,5261208
Homicide,2011,11,6,0,0,OFFSET TO PROTECT PRIVACY,,492076,5024180
Homicide,2009,9,29,0,0,OFFSET TO PROTECT PRIVACY,,498593,5377539
Homicide,2009,4,6,0,0,OFFSET TO PROTECT PRIVACY,,496959,5228486
Homicide,2020,1,18,0,0,OFFSET TO PROTECT PRIVACY,,499186,5409431
Homicide,2016,5,16,0,0,OFFSET TO PROTECT PRIVACY,,493590,5236554
Homicide,2008,10,2,0,0,OFFSET TO PROTECT PRIVACY,,508397,5165988
Homicide,2007,5,30,0,0,OFFSET TO PROTECT PRIVACY,,505911,5356286
Homicide,2010,8,12,0,0,OFFSET TO PROTECT PRIVACY,,501135,5070858
Homicide,2006,1,30,0,0,OFFSET TO PROTECT PRIVACY,,499780,5048856
Homicide,2011,7,26,0,0,OFFSET TO PROTECT PRIVACY,,490050,5384012
Homicide,2019,6,25,0,0,OFFSET TO PROTECT PRIVACY,,496080,5222409
Homicide,2011,12,30,0,0,OFFSET TO PROTECT PRIVACY,,506648,5291378
Homicide,2015,3,3,0,0,OFFSET TO PROTECT PRIVACY,,504131,5290235
Homicide,2003,11,28,0,0,OFFSET TO PROTECT PRIVACY,,493590,5131871
Homicide,2016,3,10,0,0,OFFSET TO PROTECT PRIVACY,,497697,5131594
Offence Against a Person,2012,9,16,0,0,OFFSET TO PROTECT PRIVACY,,509925,5286275
Offence Against a Person,2013,8,24,0,0,OFFSET TO PROTECT PRIVACY,,490799,5128777
Offence Against a Person,2009,1,27,0,0,OFFSET TO PROTECT PRIVACY,,491443,5133082
Offence Against a Person,2009,11,15,0,0,OFFSET TO PROTECT PRIVACY,,494080,5091759
Offence Against a Person,2004,1,8,0,0,OFFSET TO PROTECT PRIVACY,,500845,5271758
Offence Against a Person,2006,1,12,0,0,OFFSET TO PROTECT PRIVACY,,507365,5420921
Offence Against a Person,2009,3,5,0,0,OFFSET TO PROTECT PRIVACY,,501082,5397162
Offence Against a Person,2009,12,9,0,0,OFFSET TO PROTECT PRIVACY,,506846,5334601
Offence Against a Person,2016,5,14,0,0,OFFSET TO PROTECT PRIVACY,,494068,5420186
Offence Against a Person,2008,2,6,0,0,OFFSET TO PROTECT PRIVACY,,501096,5457456
Offence Against a Person,2012,2,4,0,0,OFFSET TO PROTECT PRIVACY,,502628,5049884
Offence Against a Person,2016,8,27,0,0,OFFSET TO PROTECT PRIVACY,,506579,5288850
Offence Against a Person,2006,2,14,0,0,OFFSET TO PROTECT PRIVACY,,502201,5003139
Offence Against a Person,2008,2,22,0,0,OFFSET TO PROTECT PRIVACY,,496821,5098139
Offence Against a Person,2012,8,26,0,0,OFFSET TO PROTECT PRIVACY,,497624,5261885
Offence Against a Person,2017,11,9,0,0,OFFSET TO PROTECT PRIVACY,,508237,5369418
Offence Against a Person,2019,2,5,0,0,OFFSET TO PROTECT PRIVACY,,505883,5175758
Offence Against a Person,2003,6,29,0,0,OFFSET TO PROTECT PRIVACY,,492720,5205708
Offence Against a Person,2009,8,16,0,0,OFFSET TO PROTECT PRIVACY,,496281,5289407
Offence Against a Person,2011,9,15,0,0,OFFSET TO PROTECT PRIVACY,,505364,5410981
Offence Against a Person,2016,4,3,0,0,OFFSET TO PROTECT PRIVACY,,495731,5161284
Offence Against a Person,2018,12,11,0,0,OFFSET TO PROTECT PRIVACY,,503678,5358832
Offence Against a Person,2009,2,19,0,0,OFFSET TO PROTECT PRIVACY,,506447,5427405
Offence Against a Person,2018,6,17,0,0,OFFSET TO PROTECT PRIVACY,,510535,5376355
Offence Against a Person,2011,10,25,0,0,OFFSET TO PROTECT PRIVACY,,502973,5351013
Offence Against a Person,2010,7,30,0,0,OFFSET TO PROTECT PRIVACY,,503961,5417856
Offence Against a Person,2015,6,6,0,0,OFFSET TO PROTECT PRIVACY,,495046,5304132
Offence Against a Person,2018,7,8,0,0,OFFSET TO PROTECT PRIVACY,,501580,5320180
Offence Against a Person,2003,9,11,0,0,OFFSET TO PROTECT PRIVACY,,491495,5128456
Offence Against a Person,2006,12,6,0,0,OFFSET TO PROTECT PRIVACY,,504037,5053174
Offence Against a Person,2009,8,4,0,0,OFFSET TO PROTECT PRIVACY,,502644,5207788
Offence Against a Person,2014,2,16,0,0,OFFSET TO PROTECT PRIVACY,,508502,5372816
Offence Against a Person,2019,12,31,0,0,OFFSET TO PROTECT PRIVACY,,494560,5385702
Offence Against a Person,2005,2,3,0,0,OFFSET TO PROTECT PRIVACY,,497928,5184353
Offence Against a Person,2006,8,2,0,0,OFFSET TO PROTECT PRIVACY,,499134,5069996
Offence Against a Person,2013,4,19,0,0,OFFSET TO PROTECT PRIVACY,,498572,5384374
Offence Against a Person,2014,4,30,0,0,OFFSET TO PROTECT PRIVACY,,497877,5208813
Offence Against a Person,2011,5,4,0,0,OFFSET TO PROTECT PRIVACY,,502148,5168474
Offence Against a Person,2019,8,25,0,0,OFFSET TO PROTECT PRIVACY,,503523,5191567
Offence Against a Person,2009,2,4,0,0,OFFSET TO PROTECT PRIVACY,,504559,5055712
Offence Against a Person,2009,6,30,0,0,OFFSET TO PROTECT PRIVACY,,510833,5135975
Offence Against a Person,2015,8,6,0,0,OFFSET TO PROTECT PRIVACY,,500177,5239351
Offence Against a Person,2019,2,17,0,0,OFFSET TO PROTECT PRIVACY,,504750,5039457
Offence Against a Person,2004,12,5,0,0,OFFSET TO PROTECT PRIVACY,,507737,5384982
Offence Against a Person,2005,2,22,0,0,OFFSET TO PROTECT PRIVACY,,495588,5314241
Offence Against a Person,2010,9,12,0,0,OFFSET TO PROTECT PRIVACY,,502452,5392922
Offence Against a Person,2014,10,26,0,0,OFFSET TO PROTECT PRIVACY,,510830,5243387
Offence Against a Person,2015,7,24,0,0,OFFSET TO PROTECT PRIVACY,,505534,5459074
Offence Against a Person,2010,5,2,0,0,OFFSET TO PROTECT PRIVACY,,495584,5420015
Offence Against a Person,2011,1,25,0,0,OFFSET TO PROTECT PRIVACY,,508167,5029062
Offence Against a Person,2015,6,27,0,0,OFFSET TO PROTECT PRIVACY,,503723,5204230
Offence Against a Person,2019,8,25,0,0,OFFSET TO PROTECT PRIVACY,,495710,5165129
Offence Against a Person,2017,7,21,0,0,OFFSET TO PROTECT PRIVACY,,499328,5032200
Offence Against a Person,2012,1,31,0,0,OFFSET TO PROTECT PRIVACY,,503041,5236581
Offence Against a Person,2004,11,19,0,0,OFFSET TO PROTECT PRIVACY,,499044,5263534
Offence Against a Person,2006,3,22,0,0,OFFSET TO PROTECT PRIVACY,,500517,5305194
Offence Against a Person,2013,3,3,0,0,OFFSET TO PROTECT PRIVACY,,498431,5311969
Offence Against a Person,2017,10,31,0,0,OFFSET TO PROTECT PRIVACY,,507694,5142544
Offence Against a Person,2003,6,20,0,0,OFFSET TO PROTECT PRIVACY,,509626,5299795
Offence Against a Person,2006,8,3,0,0,OFFSET TO PROTECT PRIVACY,,497820,5128204
Offence Against a Person,2006,9,5,0,0,OFFSET TO PROTECT PRIVACY,,494798,5101276
Offence Against a Person,2017,5,2,0,0,OFFSET TO PROTECT PRIVACY,,503919,5378275
Offence Against a Person,2017,7,30,0,0,OFFSET TO PROTECT PRIVACY,,503833,5147297
Offence Against a Person,2017,9,6,0,0,OFFSET TO PROTECT PRIVACY,,503362,5188702
Offence Against a Person,2017,2,2,0,0,OFFSET TO PROTECT PRIVACY,,492148,5305168
Offence Against a Person,2017,4,10,0,0,OFFSET TO PROTECT PRIVACY,,502289,5176389
Offence Against a Person,2018,8,18,0,0,OFFSET TO PROTECT PRIVACY,,493687,5426048
Offence Against a Person,2003,4,29,0,0,OFFSET TO PROTECT PRIVACY,,503846,5028997
Offence Against a Person,2013,11,15,0,0,OFFSET TO PROTECT PRIVACY,,496702,5269953
Offence Against a Person,2017,6,24,0,0,OFFSET TO PROTECT PRIVACY,,492642,5318895
Offence Against a Person,2008,4,7,0,0,OFFSET TO PROTECT PRIVACY,,496867,5455935
Offence Against a Person,2008,6,23,0,0,OFFSET TO PROTECT PRIVACY,,495039,5318858
Offence Against a Person,2011,5,21,0,0,OFFSET TO PROTECT PRIVACY,,502235,5205931
Offence Against a Person,2013,5,23,0,0,OFFSET TO PROTECT PRIVACY,,492375,5158861
Offence Against a Person,2013,11,14,0,0,OFFSET TO PROTECT PRIVACY,,507868,5389759
Offence Against a Person,2014,12,28,0,0,OFFSET TO PROTECT PRIVACY,,492981,5297601
Offence Against a Person,2016,1,15,0,0,OFFSET TO PROTECT PRIVACY,,509077,5441224
Offence Against a Person,2020,2,12,0,0,OFFSET TO PROTECT PRIVACY,,505157,5050752
Offence Against a Person,2008,8,17,0,0,OFFSET TO PROTECT PRIVACY,,508591,5136041
Offence Against a Person,2010,5,22,0,0,OFFSET TO PROTECT PRIVACY,,496788,5317709
Offence Against a Person,2011,10,20,0,0,OFFSET TO PROTECT PRIVACY,,505776,5398129
Offence Against a Person,2014,4,15,0,0,OFFSET TO PROTECT PRIVACY,,499233,5196054
Offence Against a Person,2016,1,1,0,0,OFFSET TO PROTECT PRIVACY,,494941,5306261
Offence Against a Person,2019,6,20,0,0,OFFSET TO PROTECT PRIVACY,,508156,5348735
Offence Against a Person,2016,8,6,0,0,OFFSET TO PROTECT PRIVACY,,510976,5007796
Offence Against a Person,2014,6,2,0,0,OFFSET TO PROTECT PRIVACY,,498348,5364631
Offence Against a Person,2015,6,28,0,0,OFFSET TO PROTECT PRIVACY,,501206,5038156
Offence Against a Person,2013,1,1,0,0,OFFSET TO PROTECT PRIVACY,,495872,5379951
Offence Against a Person,2010,11,30,0,0,OFFSET TO PROTECT PRIVACY,,491684,5062799
Offence Against a Person,2007,8,3,0,0,OFFSET TO PROTECT PRIVACY,,495909,5210416
Offence Against a Person,2010,2,5,0,0,OFFSET TO PROTECT PRIVACY,,506253,5191108
Offence Against a Person,2005,10,21,0,0,OFFSET TO PROTECT PRIVACY,,501672,5041468
Offence Against a Person,2018,5,22,0,0,OFFSET TO PROTECT PRIVACY,,495293,5120589
Offence Against a Person,2010,10,21,0,0,OFFSET TO PROTECT PRIVACY,,506346,5122703
Offence Against a Person,2010,12,31,0,0,OFFSET TO PROTECT PRIVACY,,494155,5169182
Offence Against a Person,2011,6,6,0,0,OFFSET TO PROTECT PRIVACY,,503175,5109857
Offence Against a Person,2013,2,27,0,0,OFFSET TO PROTECT PRIVACY,,502968,5235029
Offence Against a Person,2011,4,7,0,0,OFFSET TO PROTECT PRIVACY,,493704,5089626
Offence Against a Person,2016,12,1,0,0,OFFSET TO PROTECT PRIVACY,,501954,5279875
Offence Against a Person,2005,5,16,0,0,OFFSET TO PROTECT PRIVACY,,491659,5155681
Offence Against a Person,2019,9,19,0,0,OFFSET TO PROTECT PRIVACY,,507309,5325815
Offence Against a Person,2020,2,10,0,0,OFFSET TO PROTECT PRIVACY,,490146,5230588
Offence Against a Person,2003,2,12,0,0,OFFSET TO PROTECT PRIVACY,,492845,5277235
Offence Against a Person,2005,11,16,0,0,OFFSET TO PROTECT PRIVACY,,505581,5276278
Offence Against a Person,2006,1,29,0,0,OFFSET TO PROTECT PRIVACY,,495936,5059194
Offence Against a Person,2006,6,8,0,0,OFFSET TO PROTECT PRIVACY,,500060,5292106
Offence Against a Person,2007,2,5,0,0,OFFSET TO PROTECT PRIVACY,,491621,5213253
Offence Against a Person,2007,2,14,0,0,OFFSET TO PROTECT PRIVACY,,492228,5435265
Offence Against a Person,2008,2,7,0,0,OFFSET TO PROTECT PRIVACY,,502237,5120485
Offence Against a Person,2006,2,26,0,0,OFFSET TO PROTECT PRIVACY,,496965,5383302
Offence Against a Person,2006,6,23,0,0,OFFSET TO PROTECT PRIVACY,,500655,5070667
Offence Against a Person,2007,2,8,0,0,OFFSET TO PROTECT PRIVACY,,504994,5042808
Offence Against a Person,2003,4,4,0,0,OFFSET TO PROTECT PRIVACY,,509992,5190335
Offence Against a Person,2016,8,30,0,0,OFFSET TO PROTECT PRIVACY,,501491,5130874
Offence Against a Person,2003,6,11,0,0,OFFSET TO PROTECT PRIVACY,,505302,5453687
Offence Against a Person,2007,7,25,0,0,OFFSET TO PROTECT PRIVACY,,501622,5314219
Offence Against a Person,2014,8,29,0,0,OFFSET TO PROTECT PRIVACY,,504994,5310415
Offence Against a Person,2015,8,26,0,0,OFFSET TO PROTECT PRIVACY,,500562,5408643
Offence Against a Person,2012,7,7,0,0,OFFSET TO PROTECT PRIVACY,,502299,5321858
Offence Against a Person,2013,8,30,0,0,OFFSET TO PROTECT PRIVACY,,504019,5235780
Offence Against a Person,2014,11,12,0,0,OFFSET TO PROTECT PRIVACY,,500935,5085065
Offence Against a Person,2015,4,11,0,0,OFFSET TO PROTECT PRIVACY,,501659,5429868
Offence Against a Person,2006,10,18,0,0,OFFSET TO PROTECT PRIVACY,,497413,5150118
Offence Against a Person,2007,4,26,0,0,OFFSET TO PROTECT PRIVACY,,506867,5275141
Offence Against a Person,2009,12,1,0,0,OFFSET TO PROTECT PRIVACY,,507297,5058513
Offence Against a Person,2010,8,11,0,0,OFFSET TO PROTECT PRIVACY,,509417,5373338
Offence Against a Person,2011,3,12,0,0,OFFSET TO PROTECT PRIVACY,,495572,5283282
Offence Against a Person,2014,1,4,0,0,OFFSET TO PROTECT PRIVACY,,502351,5312324
Offence Against a Person,2015,3,10,0,0,OFFSET TO PROTECT PRIVACY,,509720,5030388
Offence Against a Person,2019,10,3,0,0,OFFSET TO PROTECT PRIVACY,,498091,5292720
Offence Against a Person,2019,11,23,0,0,OFFSET TO PROTECT PRIVACY,,506873,5402629
Offence Against a Person,2020,1,19,0,0,OFFSET TO PROTECT PRIVACY,,498744,5168609
Offence Against a Person,2004,3,11,0,0,OFFSET TO PROTECT PRIVACY,,510933,5095117
Offence Against a Person,2007,6,7,0,0,OFFSET TO PROTECT PRIVACY,,504149,5035590
Offence Against a Person,2007,7,14,0,0,OFFSET TO PROTECT PRIVACY,,501439,5045147
Offence Against a Person,2007,11,22,0,0,OFFSET TO PROTECT PRIVACY,,493104,5102701
Offence Against a Person,2008,1,10,0,0,OFFSET TO PROTECT PRIVACY,,506544,5372851
Offence Against a Person,2011,3,19,0,0,OFFSET TO PROTECT PRIVACY,,499859,5304988
Offence Against a Person,2011,12,11,0,0,OFFSET TO PROTECT PRIVACY,,493795,5210530
Offence Against a Person,2015,7,31,0,0,OFFSET TO PROTECT PRIVACY,,493964,5106392
Offence Against a Person,2006,9,25,0,0,OFFSET TO PROTECT PRIVACY,,507799,5131718
Offence Against a Person,2013,7,30,0,0,OFFSET TO PROTECT PRIVACY,,501179,5299848
Offence Against a Person,2013,9,29,0,0,OFFSET TO PROTECT PRIVACY,,505532,5270671
Offence Against a Person,2019,4,12,0,0,OFFSET TO PROTECT PRIVACY,,497829,5185741
Offence Against a Person,2011,4,5,0,0,OFFSET TO PROTECT PRIVACY,,510216,5159138
Offence Against a Person,2006,8,21,0,0,OFFSET TO PROTECT PRIVACY,,502802,5421229
Offence Against a Person,2004,1,31,0,0,OFFSET TO PROTECT PRIVACY,,500605,5166030
Offence Against a Person,2015,12,25,0,0,OFFSET TO PROTECT PRIVACY,,509577,5048965
Offence Against a Person,2008,9,1,0,0,OFFSET TO PROTECT PRIVACY,,507289,5069616
Offence Against a Person,2019,4,29,0,0,OFFSET TO PROTECT PRIVACY,,503944,5289585
Offence Against a Person,2017,7,22,0,0,OFFSET TO PROTECT PRIVACY,,496901,5246655
Offence Against a Person,2019,3,11,0,0,OFFSET TO PROTECT PRIVACY,,498283,5012436
Offence Against a Person,2016,9,15,0,0,OFFSET TO PROTECT PRIVACY,,501514,5032764
Offence Against a Person,2017,9,29,0,0,OFFSET TO PROTECT PRIVACY,,497736,5144418
Offence Against a Person,2018,11,12,0,0,OFFSET TO PROTECT PRIVACY,,498656,5072538
Offence Against a Person,2018,11,25,0,0,OFFSET TO PROTECT PRIVACY,,505396,5287527
Offence Against a Person,2019,8,17,0,0,OFFSET TO PROTECT PRIVACY,,492640,5444792
Offence Against a Person,2006,7,3,0,0,OFFSET TO PROTECT PRIVACY,,505988,5398644
Offence Against a Person,2016,8,10,0,0,OFFSET TO PROTECT PRIVACY,,505661,5190200
Offence Against a Person,2017,8,8,0,0,OFFSET TO PROTECT PRIVACY,,508450,5437870
